"country_of_residence","inputstate","res_region","res_division","votereg","ND_votereg","inputregstate","reg_region","reg_division","birthyr","age5","state_election_type","primaryvote","partyvote","ENTHUSIM","gnddirect","CHOICE20_MD1_1","CHOICE20_MD1_2","CHOICE20_MD1_3","CHOICE20_MD1_4","CHOICE20_MD1_5","CHOICE20_MD2_1","CHOICE20_MD2_2","CHOICE20_MD2_3","CHOICE20_MD2_4","CHOICE20_MD2_5","CHOICE20_MD3_1","CHOICE20_MD3_2","CHOICE20_MD3_3","CHOICE20_MD3_4","CHOICE20_MD3_5","CHOICE20_MD4_1","CHOICE20_MD4_2","CHOICE20_MD4_3","CHOICE20_MD4_4","CHOICE20_MD4_5","CHOICE20_MD5_1","CHOICE20_MD5_2","CHOICE20_MD5_3","CHOICE20_MD5_4","CHOICE20_MD5_5","CHOICE20_MD6_1","CHOICE20_MD6_2","CHOICE20_MD6_3","CHOICE20_MD6_4","CHOICE20_MD6_5","CHOICE20_MD7_1","CHOICE20_MD7_2","CHOICE20_MD7_3","CHOICE20_MD7_4","CHOICE20_MD7_5","CHOICE20_MD8_1","CHOICE20_MD8_2","CHOICE20_MD8_3","CHOICE20_MD8_4","CHOICE20_MD8_5","CHOICE20_MD9_1","CHOICE20_MD9_2","CHOICE20_MD9_3","CHOICE20_MD9_4","CHOICE20_MD9_5","CHOICE20_MD10_1","CHOICE20_MD10_2","CHOICE20_MD10_3","CHOICE20_MD10_4","CHOICE20_MD10_5","CHOICE20_MD11_1","CHOICE20_MD11_2","CHOICE20_MD11_3","CHOICE20_MD11_4","CHOICE20_MD11_5","CHOICE20_MD12_1","CHOICE20_MD12_2","CHOICE20_MD12_3","CHOICE20_MD12_4","CHOICE20_MD12_5","CHOICE20_MD13_1","CHOICE20_MD13_2","CHOICE20_MD13_3","CHOICE20_MD13_4","CHOICE20_MD13_5","CHOICE20_MD14_1","CHOICE20_MD14_2","CHOICE20_MD14_3","CHOICE20_MD14_4","CHOICE20_MD14_5","CHOICE20_MD15_1","CHOICE20_MD15_2","CHOICE20_MD15_3","CHOICE20_MD15_4","CHOICE20_MD15_5","CHOICE20_MD16_1","CHOICE20_MD16_2","CHOICE20_MD16_3","CHOICE20_MD16_4","CHOICE20_MD16_5","CHOICE20_MD17_1","CHOICE20_MD17_2","CHOICE20_MD17_3","CHOICE20_MD17_4","CHOICE20_MD17_5","cand_allocator_djt_1","cand_allocator_col_1","cand_allocator_wom_1","cand_allocator_yng_1","cand_allocator_m4a_1","cand_allocator_abt_1","cand_allocator_ira_1","cand_allocator_rep_1","cand_allocator_fp_1","cand_allocator_exp_1","cand_allocator_leg_1","cand_allocator_ice_1","cand_allocator_env_1","cand_allocator_min_1","cand_allocator_rur_1","cand_allocator_tax_1","cand_allocator_oil_1","cand_allocator_imp_1","app_dtrmp","turnout16","presvote16post","presvote16post_t","turnout18post","housevote18post","housevote18post_t","pid3","pid3_t","pid7","pid3_condensed","ideo5","ideo3","pp18_polactions_1","pp18_polactions_2","pp18_polactions_3","pp18_polactions_4","pp18_polactions_5","pp18_polactions_6","pp18_polactions_7","pp18_polactions_8","pp18_polactions_t","gender","educ","educ4","educ2","race","race_t","race4","race3","race2","hispanic","anychild","child18","marstat","urbancity","urbancity_t","faminc_new","faminc5","employ","job","union_combined_1","union_combined_5","union_combined_2","union_combined_6","union_combined_3","union_combined_4","newsint","religpew","religpew_t","pew_bornagain","pew_churatd","weight"
840,53,4,9,1,,53,4,9,1985,2,2,3,3,8,5,,,2,1,,1,,,2,,2,,,,1,1,,2,,,2,,1,,,,1,,,2,,2,,1,,,,2,1,,2,,1,,,1,,2,,,,2,1,,,1,,,2,,,,,2,1,,,1,2,,,,1,,2,,1,2,,,,,,1,2,0,0,0,0,0,0,0,0,0,70,0,30,0,0,0,0,0,0,2,1,3,"__NA__",1,3,"__NA__",3,"__NA__",4,3,4,3,0,0,0,0,0,0,0,1,"__NA__",2,2,1,1,1,"__NA__",1,1,1,2,1,1,1,4,"__NA__",6,2,7,"__NA__",0,0,0,0,1,0,2,1,"__NA__",1,5,0.5317
840,40,3,7,1,,40,3,7,1961,4,2,1,2,7,5,,2,,1,,,2,,,1,,2,1,,,2,,,,1,2,,,1,,2,,,,1,1,,2,,,1,2,,,,2,1,,,,,,1,2,,1,2,,,,2,,,1,,,2,,,1,,1,2,,,,2,1,,,1,2,,,,,,2,,1,0,0,0,0,0,0,0,69,15,0,0,0,12,0,4,0,0,0,1,1,2,"__NA__",1,2,"__NA__",2,"__NA__",6,2,4,3,0,0,0,0,0,0,0,1,"__NA__",2,4,2,1,1,"__NA__",1,1,1,2,1,2,1,4,"__NA__",8,3,1,"__NA__",0,0,0,0,1,0,2,1,"__NA__",2,4,0.9475
840,36,1,2,1,,11,3,5,1983,2,2,1,2,10,1,2,,,1,,,1,2,,,,,2,1,,,,2,,1,,1,2,,,1,,,,2,2,1,,,,2,,1,,,,,,2,1,2,,,,1,1,,,2,,,,2,,1,,,2,,1,,1,,,2,,2,,1,,2,,,,1,,,2,1,,0,14,15,4,10,2,6,3,6,13,0,0,7,0,0,5,4,11,1,1,2,"__NA__",1,2,"__NA__",2,"__NA__",7,2,4,3,0,0,1,0,1,1,0,0,"__NA__",1,5,3,2,1,"__NA__",1,1,1,2,1,1,1,1,"__NA__",9,3,1,"__NA__",0,0,0,0,1,0,2,2,"__NA__",2,2,1.2787
840,6,4,9,1,,6,4,9,1965,3,2,1,1,10,3,,1,2,,,1,,,,2,,1,,2,,1,,,2,,1,,,,2,1,2,,,,1,2,,,,,,1,2,,1,,,2,,,,1,,2,1,,,2,,1,,2,,,,1,,2,,1,2,,,,,1,,2,,1,,2,,,,2,,,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,"__NA__",1,1,"__NA__",1,"__NA__",1,1,3,2,0,0,0,0,1,0,0,0,"__NA__",2,6,4,2,4,"__NA__",4,1,2,2,2,2,1,2,"__NA__",12,5,1,"__NA__",1,0,0,0,0,0,2,1,"__NA__",2,5,0.7466
840,29,2,4,1,,29,2,4,1946,5,2,1,2,9,5,,2,1,,,,,1,2,,2,,,,1,2,,,1,,2,,1,,,2,,,,1,,,2,,1,,2,,1,,2,1,,,,1,2,,,,2,,,,1,2,1,,,,,2,1,,,,,,2,1,,,,2,1,,2,1,,,,,2,1,,0,0,0,0,0,0,0,90,0,0,0,0,0,0,10,0,0,0,1,1,6,"__NA__",1,2,"__NA__",3,"__NA__",5,3,4,3,0,0,0,0,0,0,0,1,"__NA__",1,6,4,2,6,"__NA__",4,1,2,2,1,2,1,4,"__NA__",97,6,5,"__NA__",0,0,0,0,1,0,1,1,"__NA__",1,2,0.4148
840,36,1,2,1,,36,1,2,1953,5,2,1,2,10,1,1,,2,,,,1,,,2,,1,2,,,1,2,,,,1,,,2,,,1,,,2,,,1,,2,,1,,2,,1,,,2,,1,2,,,,,1,2,,,1,,,,2,2,,,,1,,,1,,2,,,2,1,,,1,2,,,2,,1,,,49,0,0,0,0,28,0,0,0,0,0,0,23,0,0,0,0,0,4,1,1,"__NA__",1,1,"__NA__",2,"__NA__",7,2,4,3,0,0,0,0,0,0,0,1,"__NA__",2,6,4,2,1,"__NA__",1,1,1,2,2,2,1,2,"__NA__",12,5,5,"__NA__",0,0,0,0,1,0,1,5,"__NA__",2,6,0.5612
840,12,3,5,1,,12,3,5,1943,5,2,5,1,10,5,,1,2,,,,1,,2,,2,1,,,,1,,,,2,1,2,,,,2,1,,,,2,,1,,,2,1,,,,2,1,,,,1,,2,,,2,1,,,,1,,,2,,1,2,,,,,,,2,1,,,,1,2,2,1,,,,2,,1,,,0,31,41,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,2,1,2,"__NA__",1,2,"__NA__",3,"__NA__",4,3,3,2,0,0,0,0,0,0,0,1,"__NA__",1,5,3,2,6,"__NA__",4,1,2,2,1,2,1,2,"__NA__",4,2,5,"__NA__",0,1,0,0,0,0,1,2,"__NA__",1,1,1.2281
840,17,2,3,1,,17,2,3,1968,3,2,1,2,10,5,2,,1,,,2,,,1,,2,1,,,,,,,1,2,2,,1,,,2,,1,,,2,,,1,,2,,1,,,,1,2,,,,,2,1,,2,,1,,,1,,2,,,,2,1,,,,2,,,1,,2,1,,,2,1,,,,,,2,,1,0,0,0,0,0,0,0,60,10,10,0,0,0,0,20,0,0,0,1,1,3,"__NA__",1,2,"__NA__",2,"__NA__",7,2,2,1,0,0,1,0,1,1,0,0,"__NA__",1,3,2,1,1,"__NA__",1,1,1,2,2,2,5,3,"__NA__",10,4,1,"__NA__",0,0,0,0,1,0,1,2,"__NA__",2,6,0.6907
840,42,1,2,1,,42,1,2,1957,4,2,2,3,3,2,2,,,1,,1,2,,,,1,2,,,,1,,2,,,,2,,,1,,1,2,,,1,,,2,,2,,,,1,,1,,2,,1,,2,,,1,2,,,,1,,2,,,1,2,,,,1,2,,,,1,2,,,,2,,1,,,1,,2,,,23,0,0,0,10,0,0,11,8,3,12,0,13,0,0,16,0,4,4,1,1,"__NA__",1,2,"__NA__",3,"__NA__",5,3,3,2,0,0,1,0,0,0,0,0,"__NA__",2,5,3,2,1,"__NA__",1,1,1,2,1,2,1,2,"__NA__",12,5,2,"__NA__",0,0,0,0,1,0,2,1,"__NA__",1,3,0.7418
840,24,3,5,1,,24,3,5,1941,5,2,1,2,10,5,,2,1,,,1,2,,,,2,,,1,,,2,,1,,2,1,,,,,,2,,1,,,2,,1,,2,,1,,2,,1,,,2,,1,,,,2,1,,,2,,,,1,2,,,,1,1,2,,,,,2,,,1,1,2,,,,2,,,1,,0,0,0,0,0,10,10,0,20,10,10,0,0,0,20,0,20,0,1,1,2,"__NA__",1,2,"__NA__",3,"__NA__",5,3,3,2,0,0,0,0,0,1,0,0,"__NA__",2,3,2,1,1,"__NA__",1,1,1,2,1,2,3,2,"__NA__",6,2,2,"__NA__",0,0,0,1,0,0,1,1,"__NA__",2,4,0.6178
840,13,3,5,1,,13,3,5,1956,4,2,1,1,9,3,,1,2,,,1,2,,,,,1,,,2,,,1,,2,1,,,,2,,1,2,,,1,,,,2,,,2,,1,2,,,1,,1,,,,2,1,2,,,,,,2,1,,1,,,,2,1,,2,,,2,1,,,,1,2,,,,,2,,,1,0,0,60,0,0,0,0,0,25,0,0,0,0,0,0,0,15,0,4,1,1,"__NA__",1,1,"__NA__",1,"__NA__",2,1,3,2,0,0,0,0,0,0,0,1,"__NA__",2,3,2,1,2,"__NA__",2,2,2,2,1,1,3,3,"__NA__",97,6,1,"__NA__",0,0,0,0,1,0,1,11,"__NA__",2,5,0.597
840,32,4,8,1,,32,4,8,1986,2,1,1,1,10,1,2,1,,,,1,,,2,,2,1,,,,1,,,2,,1,2,,,,,1,,,2,1,2,,,,,,1,2,,1,,2,,,2,,,1,,,1,,,2,1,,2,,,1,,2,,,,,1,2,,,1,,,2,1,2,,,,1,,2,,,0,0,0,0,0,5,0,5,0,0,0,2,0,53,4,0,0,31,4,1,1,"__NA__",1,1,"__NA__",1,"__NA__",1,1,1,1,0,0,0,0,0,0,0,1,"__NA__",2,3,2,1,6,"__NA__",4,1,2,1,1,1,1,1,"__NA__",4,2,1,"__NA__",0,0,0,0,1,0,3,1,"__NA__",1,6,0.951
840,11,3,5,1,,24,3,5,1947,5,2,2,1,9,1,1,,,,2,1,,,,2,1,,,,2,1,2,,,,1,,,2,,,1,,,2,1,,,,2,,,1,2,,1,,2,,,,,,2,1,1,,,2,,1,,,,2,2,,,,1,1,2,,,,,,2,1,,,1,2,,,,,1,,2,41,0,0,0,0,16,0,0,14,6,5,0,4,0,14,0,0,0,4,1,1,"__NA__",1,1,"__NA__",1,"__NA__",1,1,2,1,0,0,0,0,0,0,0,1,"__NA__",1,6,4,2,1,"__NA__",1,1,1,2,1,2,1,2,"__NA__",97,6,5,"__NA__",0,0,0,0,1,0,1,11,"__NA__",2,4,0.6216
840,55,2,3,1,,55,2,3,1946,5,2,1,2,10,5,,,2,1,,1,,,2,,,2,,1,,,2,,,1,2,,,1,,2,,,,1,1,,2,,,2,,,,1,2,,1,,,,2,,,1,1,2,,,,2,,,1,,,2,1,,,1,,2,,,2,,,,1,,2,,1,,,,2,,1,5,4,3,5,5,0,0,15,8,21,12,3,0,0,10,4,5,0,1,1,2,"__NA__",1,2,"__NA__",2,"__NA__",7,2,5,3,0,0,0,0,1,1,0,0,"__NA__",1,6,4,2,1,"__NA__",1,1,1,2,1,2,1,4,"__NA__",9,3,5,"__NA__",0,0,0,0,1,0,1,1,"__NA__",1,2,0.7531
